@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute global_motion numeric
@attribute motion_L numeric
@attribute motion_R numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric

@data
691,'2017/09/14 22:03:01:570',20,0.010937,0.021875,0,?,?,?,?,?
692,'2017/09/14 22:03:01:585',20,0.010937,0.021875,0,?,?,?,?,?
693,'2017/09/14 22:03:01:603',20,0.010937,0.021875,0,?,?,?,?,?
694,'2017/09/14 22:03:01:654',20,0.05625,0.109375,0.003125,?,?,?,?,?
695,'2017/09/14 22:03:01:669',20,0.05625,0.109375,0.003125,?,?,?,?,?
696,'2017/09/14 22:03:01:685',20,0.05625,0.109375,0.003125,?,?,?,?,?
697,'2017/09/14 22:03:01:703',20,0.05625,0.109375,0.003125,?,?,?,?,?
698,'2017/09/14 22:03:01:719',20,0.073437,0.146875,0,?,?,?,?,?
699,'2017/09/14 22:03:01:735',20,0.073437,0.146875,0,?,?,?,?,?
700,'2017/09/14 22:03:01:753',20,0.073437,0.146875,0,?,?,?,?,?
701,'2017/09/14 22:03:01:769',20,0.073437,0.146875,0,?,?,?,?,?
702,'2017/09/14 22:03:01:803',20,0.034375,0.059375,0.009375,?,?,?,?,?
703,'2017/09/14 22:03:01:821',20,0.034375,0.059375,0.009375,?,?,?,?,?
704,'2017/09/14 22:03:01:835',20,0.034375,0.059375,0.009375,?,?,?,?,?
705,'2017/09/14 22:03:01:853',20,0.034375,0.059375,0.009375,?,?,?,?,?
706,'2017/09/14 22:03:01:885',20,0.045313,0.078125,0.0125,?,?,?,?,?
707,'2017/09/14 22:03:01:904',20,0.045313,0.078125,0.0125,?,?,?,?,?
708,'2017/09/14 22:03:01:919',20,0.045313,0.078125,0.0125,?,?,?,?,?
709,'2017/09/14 22:03:01:936',20,0.045313,0.078125,0.0125,?,?,?,?,?
710,'2017/09/14 22:03:01:969',20,0.060938,0.11875,0.003125,?,?,?,?,?
711,'2017/09/14 22:03:01:986',20,0.060938,0.11875,0.003125,?,?,?,?,?
712,'2017/09/14 22:03:02:002',20,0.060938,0.11875,0.003125,?,?,?,?,?
713,'2017/09/14 22:03:02:021',20,0.060938,0.11875,0.003125,?,?,?,?,?
714,'2017/09/14 22:03:02:053',20,0.046875,0.0875,0.00625,?,?,?,?,?
715,'2017/09/14 22:03:02:069',20,0.046875,0.0875,0.00625,?,?,?,?,?
716,'2017/09/14 22:03:02:086',20,0.046875,0.0875,0.00625,?,?,?,?,?
717,'2017/09/14 22:03:02:103',20,0.046875,0.0875,0.00625,?,?,?,?,?
718,'2017/09/14 22:03:02:135',20,0.0125,0.021875,0.003125,?,?,?,?,?
719,'2017/09/14 22:03:02:152',20,0.0125,0.021875,0.003125,?,?,?,?,?
720,'2017/09/14 22:03:02:169',20,0.0125,0.021875,0.003125,?,?,?,?,?
721,'2017/09/14 22:03:02:186',20,0.0125,0.021875,0.003125,?,?,?,?,?
722,'2017/09/14 22:03:02:219',20,0.070313,0.109375,0.03125,?,?,?,?,?
723,'2017/09/14 22:03:02:237',20,0.070313,0.109375,0.03125,?,?,?,?,?
724,'2017/09/14 22:03:02:253',20,0.070313,0.109375,0.03125,?,?,?,?,?
725,'2017/09/14 22:03:02:269',20,0.070313,0.109375,0.03125,?,?,?,?,?
726,'2017/09/14 22:03:02:301',20,0.071875,0.115625,0.028125,?,?,?,?,?
727,'2017/09/14 22:03:02:320',20,0.071875,0.115625,0.028125,?,?,?,?,?
728,'2017/09/14 22:03:02:335',20,0.071875,0.115625,0.028125,?,?,?,?,?
729,'2017/09/14 22:03:02:353',20,0.071875,0.115625,0.028125,?,?,?,?,?
730,'2017/09/14 22:03:02:387',20,0.01875,0.0375,0,?,?,?,?,?
731,'2017/09/14 22:03:02:402',20,0.01875,0.0375,0,?,?,?,?,?
732,'2017/09/14 22:03:02:419',20,0.01875,0.0375,0,?,?,?,?,?
733,'2017/09/14 22:03:02:437',20,0.01875,0.0375,0,?,?,?,?,?
734,'2017/09/14 22:03:02:469',20,0.057813,0.115625,0,?,?,?,?,?
735,'2017/09/14 22:03:02:486',20,0.057813,0.115625,0,?,?,?,?,?
736,'2017/09/14 22:03:02:504',20,0.057813,0.115625,0,?,?,?,?,?
737,'2017/09/14 22:03:02:520',20,0.057813,0.115625,0,?,?,?,?,?
738,'2017/09/14 22:03:02:552',20,0.057813,0.1125,0.003125,?,?,?,?,?
739,'2017/09/14 22:03:02:570',20,0.057813,0.1125,0.003125,?,?,?,?,?
740,'2017/09/14 22:03:02:586',20,0.057813,0.1125,0.003125,?,?,?,?,?
741,'2017/09/14 22:03:02:604',20,0.057813,0.1125,0.003125,?,?,?,?,?
742,'2017/09/14 22:03:02:634',20,0.017188,0.03125,0.003125,?,?,?,?,?
743,'2017/09/14 22:03:02:653',20,0.017188,0.03125,0.003125,?,?,?,?,?
744,'2017/09/14 22:03:02:669',20,0.017188,0.03125,0.003125,?,?,?,?,?
745,'2017/09/14 22:03:02:686',20,0.017188,0.03125,0.003125,?,?,?,?,?
746,'2017/09/14 22:03:02:718',20,0.053125,0.103125,0.003125,?,?,?,?,?
747,'2017/09/14 22:03:02:735',20,0.053125,0.103125,0.003125,?,?,?,?,?
748,'2017/09/14 22:03:02:753',20,0.053125,0.103125,0.003125,?,?,?,?,?
749,'2017/09/14 22:03:02:769',20,0.053125,0.103125,0.003125,?,?,?,?,?
750,'2017/09/14 22:03:02:802',20,0.054688,0.096875,0.0125,?,?,?,?,?
751,'2017/09/14 22:03:02:820',20,0.054688,0.096875,0.0125,?,?,?,?,?
752,'2017/09/14 22:03:02:836',20,0.054688,0.096875,0.0125,?,?,?,?,?
753,'2017/09/14 22:03:02:854',20,0.054688,0.096875,0.0125,?,?,?,?,?
754,'2017/09/14 22:03:02:886',20,0.025,0.04375,0.00625,?,?,?,?,?
755,'2017/09/14 22:03:02:903',20,0.025,0.04375,0.00625,?,?,?,?,?
756,'2017/09/14 22:03:02:919',20,0.025,0.04375,0.00625,?,?,?,?,?
757,'2017/09/14 22:03:02:936',20,0.025,0.04375,0.00625,?,?,?,?,?
758,'2017/09/14 22:03:02:970',20,0.021875,0.0375,0.00625,?,?,?,?,?
759,'2017/09/14 22:03:02:987',20,0.021875,0.0375,0.00625,?,?,?,?,?
760,'2017/09/14 22:03:03:001',20,0.021875,0.0375,0.00625,?,?,?,?,?
761,'2017/09/14 22:03:03:020',20,0.021875,0.0375,0.00625,?,?,?,?,?
762,'2017/09/14 22:03:03:051',20,0.046875,0.0875,0.00625,?,?,?,?,?
763,'2017/09/14 22:03:03:069',20,0.046875,0.0875,0.00625,?,?,?,?,?
764,'2017/09/14 22:03:03:085',20,0.046875,0.0875,0.00625,?,?,?,?,?
765,'2017/09/14 22:03:03:103',20,0.046875,0.0875,0.00625,?,?,?,?,?
766,'2017/09/14 22:03:03:136',20,0.051562,0.096875,0.00625,?,?,?,?,?
767,'2017/09/14 22:03:03:152',20,0.051562,0.096875,0.00625,?,?,?,?,?
768,'2017/09/14 22:03:03:167',20,0.051562,0.096875,0.00625,?,?,?,?,?
769,'2017/09/14 22:03:03:187',20,0.051562,0.096875,0.00625,?,?,?,?,?
770,'2017/09/14 22:03:03:219',20,0.025,0.04375,0.00625,?,?,?,?,?
771,'2017/09/14 22:03:03:234',20,0.025,0.04375,0.00625,?,?,?,?,?
